Transactions ,NREG ,Account 2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
SELECTION CRITERIA: All transaction types,,,,,,,,,,,,,,,,,,,,,,
SECURITY: All securities,,,,,,,,,,,,,,,,,,,,,,
DATES: 01-JAN-2024 TO 01-JAN-2025,,,,,,,,,,,,,,,,,,,,,,
                      ,,,,,,,,,,,,,,,,,,,,,,
TRANS/VALUE DATE,ENTRY DATE,TRANS TYPE,A/C,ST,QUANTITY,TRADE NO,CUSIP,SYMBOL,SECURITY DESCRIPTION,AVG COST,,UNIT PRICE,,TOTAL AMOUNT,,REMARK,GAIN/LOSS,,CXLD,LONG REMARK,COMMISSION,
30-Dec-24,,Dividend,14,,,,L495002,L,LOBLAW CO,,,,,12.31,,DIV,,,,CASH DIV  ON      24 SHS       REC 12/15/24 PAY 12/30/24,,
27-Dec-24,,Dividend,14U,,,,F013992,META,META PLATFORMS CL A COM STOCK,,,,,1.5,U,DIV,,,,CASH DIV  ON       3 SHS       REC 12/16/24 PAY 12/27/24      NON-RES TAX WITHHELD,,
27-Dec-24,,Misc cash,14U,,,,F013992,META,META PLATFORMS CL A COM STOCK,,,,,-0.22,U,NRT,,,,CASH DIV  ON       3 SHS       REC 12/16/24 PAY 12/27/24      NON-RES TAX WITHHELD,,
27-Dec-24,,Reinvested,14,,1,,M030560,MMF4008,MANULIFE GL FX INC PVT F-N,,,,,0,,EXH AB,,,,FULL SHARES FOR FRACTIONS,,
27-Dec-24,,Reinvested,14,,-1000,,M030561,,1000THS MANULIFE GLBL FIXED IN,,,,,0,,EXH AB,,,,FULL SHARES FOR FRACTIONS,,
24-Dec-24,,Reinvested,14,,1,,L101708,LYZ801F,LYSANDER CORP VAL BD NL F,,,,,0,,EXH AB,,,,FULL SHARES FOR FRACTIONS,,
24-Dec-24,,Reinvested,14,,-1000,,L101709,,1000THS LYSANDER CORPORATE VAL,,,,,0,,EXH AB,,,,FULL SHARES FOR FRACTIONS,,
23-Dec-24,24-Dec-24,Stock Div,14,,26,,M030560,MMF4008,MANULIFE GL FX INC PVT F-N,,,,,0,,DIV C5,,,,AS OF 12/23/24                 REINVESTED DIVIDENDS @$9.656,,
23-Dec-24,24-Dec-24,Stock Div,14,,98,,M030561,,1000THS MANULIFE GLBL FIXED IN,,,,,0,,DIV C5,,,,AS OF 12/23/24                 REINVESTED DIVIDENDS @$9.656,,
23-Dec-2024/24-Dec-2024,23-Dec-24,BUY,14U,,23,387,A002266,AXAHY,AXA UNSPONSORED ADR,,,35.06,U,-806.38,U,,,,,,0,U
23-Dec-2024/24-Dec-2024,23-Dec-24,SELL,14U,,-5,2391,B053113,AVGO,BROADCOM COM STOCK,59.4523,U,229.015,U,1145.04,U,,847.78,U,,,0,U
21-Dec-24,23-Dec-24,Interest,14U,,,,,,INT @ 1 3/4% 11/22 THRU 12/21,,,,,19.46,U,INT,,,,INTEREST ON CREDIT BALANCE     AT  1 3/4% 11/22 THRU 12/21,,
20-Dec-24,23-Dec-24,Stock Div,14,,84,,D002576,DYN2853,DYNAMIC PREMIUM YIELD FD SR F(,,,,,0,,DIV C5,,,,AS OF 12/20/24                 REINVESTED DIVIDENDS @$11.6594,,
20-Dec-24,23-Dec-24,Stock Div,14,,516,,D002577,,1000THS DYNAMIC PREMIUM YIELD,,,,,0,,DIV C5,,,,AS OF 12/20/24                 REINVESTED DIVIDENDS @$11.6594,,
20-Dec-24,23-Dec-24,Stock Div,14,,37,,L101708,LYZ801F,LYSANDER CORP VAL BD NL F,,,,,0,,DIV C5,,,,AS OF 12/20/24                 REINVESTED DIVIDENDS @$14.1857,,
20-Dec-24,23-Dec-24,Stock Div,14,,707,,L101709,,1000THS LYSANDER CORPORATE VAL,,,,,0,,DIV C5,,,,AS OF 12/20/24                 REINVESTED DIVIDENDS @$14.1857,,
20-Dec-24,23-Dec-24,Stock Div,14,,835,,D054213,,1000THS DYNAMIC CR  ABSOLUTE R,,,,,0,,DIV C5,,,,AS OF 12/20/24                 REINVESTED DIVIDENDS @$8.8598,,
20-Dec-24,23-Dec-24,Stock Div,14,,82,,D054214,DYN27550,DYNAMIC CR  ABSOLUTE RETURN FD,,,,,0,,DIV C5,,,,AS OF 12/20/24                 REINVESTED DIVIDENDS @$8.8598,,
20-Dec-24,,Dividend,14,,,,S535549,SJ,STELLA-JONES,,,,,2.8,,DIV,,,,CASH DIV  ON      10 SHS       REC 12/02/24 PAY 12/20/24,,
20-Dec-24,,Misc cash,14U,,,,W001310,WM,WASTE MANAGEMENT DEL,,,,,-2.36,U,NRT,,,,CASH DIV  ON      21 SHS       REC 12/06/24 PAY 12/20/24      NON-RES TAX WITHHELD,,
20-Dec-24,,Dividend,14U,,,,W001310,WM,WASTE MANAGEMENT DEL,,,,,15.75,U,DIV,,,,CASH DIV  ON      21 SHS       REC 12/06/24 PAY 12/20/24      NON-RES TAX WITHHELD,,
20-Dec-24,,Dividend,14,,,,C074613,GIB.A,CGI CL A SUB VTG,,,,,5.85,,DIV,,,,CASH DIV  ON      39 SHS       REC 11/20/24 PAY 12/20/24,,
19-Dec-24,,Misc cash,14,,,,,,BUY C$ @ 1.4255 MVEST 00000186,,,,,1843.39,,FXC F7,,,,BUY C$ @ 1.4255                MVEST  00000186301,,
19-Dec-24,,Misc cash,14U,,,,,,BUY C$ @ 1.4255 MVEST 00000186,,,,,-1293.15,U,FXC F7,,,,BUY C$ @ 1.4255                MVEST  00000186401             CNV@  1.42550000,,
19-Dec-24,,Dividend,14,,,,M101454,MFC,MANULIFE FINANCIAL,,,,,46.8,,DIV,,,,CASH DIV  ON     117 SHS       REC 11/20/24 PAY 12/19/24,,
19-Dec-24,,Misc cash,14U,,,,L004763,LVMUY,LVMH MOET HENNESSY LOUIS VUITT,,,,,-5.44,U,NRT,,,,CASH DIV  ON      20 SHS       REC 11/29/24 PAY 12/19/24      NON-RES TAX WITHHELD,,
19-Dec-24,,Dividend,14U,,,,L004763,LVMUY,LVMH MOET HENNESSY LOUIS VUITT,,,,,21.78,U,DIV,,,,CASH DIV  ON      20 SHS       REC 11/29/24 PAY 12/19/24      NON-RES TAX WITHHELD,,
19-Dec-24,,Dividend,14U,,,,S086965,SHEL,SHELL PLC AMN DEPOSITARY SHARE,,,,,51.6,U,DIV,,,,CASH DIV  ON      75 SHS       REC 11/15/24 PAY 12/19/24,,
19-Dec-2024/20-Dec-2024,19-Dec-24,SELL,14,,-46,7567,C100571,CAR.UN,CDN APARTMENT PPTYS REAL EST I,52.8868,,42.555,,1957.51,,,-475.28,,,,0,
18-Dec-24,,Dividend,14,,,,R047735,RBA,RB GLOBAL COM,,,,,6.18,,DIV,,,,CASH DIV  ON      15 SHS       REC 11/27/24 PAY 12/18/24,,
18-Dec-24,,Dividend,14,,,,A059441,ATD,ALIMENTATION COUCHE-TARD COM,,,,,10.14,,DIV,,,,CASH DIV  ON      52 SHS       REC 12/04/24 PAY 12/18/24,,
18-Dec-24,,Dividend,14U,,,,P040887,ODFL,OLD DOMINION FREIGHT LINES,,,,,2.08,U,DIV,,,,CASH DIV  ON       8 SHS       REC 12/04/24 PAY 12/18/24      NON-RES TAX WITHHELD,,
18-Dec-24,,Misc cash,14U,,,,P040887,ODFL,OLD DOMINION FREIGHT LINES,,,,,-0.31,U,NRT,,,,CASH DIV  ON       8 SHS       REC 12/04/24 PAY 12/18/24      NON-RES TAX WITHHELD,,
18-Dec-24,,Interest,14,,,,5810292,,PROV OF BC         4.7%18JUN37,,,,,47,,INT,,,,REG INT   ON    2000 BND       REC 12/17/24 PAY 12/18/24,,
18-Dec-2024/19-Dec-2024,18-Dec-24,SELL,14,,-4000,6724,5678914,,NB               5.50% 27JAN34,114.409,,112.91,,4603.8,,,-59.96,,,,0,
18-Dec-2024/19-Dec-2024,18-Dec-24,BUY,14,,4000,158,5BHGRG9,,PROV NB SINKING FD 4.8%03JUN41,,,107.9,,-4324.42,,YLD: 4.18%,,,,,0,
18-Dec-2024/19-Dec-2024,18-Dec-24,BUY,14,,19,8680,A064163,ATRL,ATKINSREALIS GROUP COM,,,75.912,,-1442.33,,,,,,,0,
18-Dec-2024/19-Dec-2024,18-Dec-24,BUY,14,,18,9108,B086409,BNS,BANK OF NOVA SCOTIA,,,78.162,,-1406.92,,,,,,,0,
18-Dec-2024/19-Dec-2024,18-Dec-24,SELL,14,,-4,6363,C000386,CCL.B,CCL IND CL-B NON-VTG SHARES,72.206,,72.587,,290.35,,,1.53,,,,0,
18-Dec-2024/19-Dec-2024,18-Dec-24,SELL,14,,-3,1057,C000606,CNR,CANADIAN NATIONAL RAILWAY CO,162.2936,,147.982,,443.95,,,-42.93,,,,0,
