Transactions,Non Reg,Sample,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
SELECTION CRITERIA: All transaction types,,,,,,,,,,,,,,,,,,,,,
SECURITY: All securities,,,,,,,,,,,,,,,,,,,,,
DATES: 01-JAN-2024 TO 01-JAN-2025,,,,,,,,,,,,,,,,,,,,,
                      ,,,,,,,,,,,,,,,,,,,,,
TRANS/VALUE DATE,ENTRY DATE,TRANS TYPE,A/C,ST,QUANTITY,TRADE NO,CUSIP,SYMBOL,SECURITY DESCRIPTION,AVG COST,,UNIT PRICE,,TOTAL AMOUNT,,REMARK,GAIN/LOSS,,CXLD,LONG REMARK,COMMISSION
28-Oct-24,29-Oct-24,Stock Div,18,,531,,R035405,,1000THS RP INVESTMENT ADVISORS,,,,,0,,DIV C5,,,,AS OF 10/28/24                 REINVESTED DIVIDENDS @$9.8439,
25-Oct-24,28-Oct-24,Stock Div,18,,55,,D002576,DYN2853,DYNAMIC PREMIUM YIELD FD SR F(,,,,,0,,DIV C5,,,,AS OF 10/25/24                 REINVESTED DIVIDENDS @$11.5449,
25-Oct-24,28-Oct-24,Stock Div,18,,955,,D002577,,1000THS DYNAMIC PREMIUM YIELD,,,,,0,,DIV C5,,,,AS OF 10/25/24                 REINVESTED DIVIDENDS @$11.5449,
16-Oct-2024/17-Oct-2024,17-Oct-24,BUY,18,,200000,424,B074135,BMT102,BMO CAD HISA CL F (102),,,1,,-200000,,,,,,,0
10-Oct-24,11-Oct-24,Interest,18,,,,C118506,CBL13439,CIBC CDN BNK DIVIDEND LINKED C,,,,,740,,INT C5,,,,AS OF 10/10/24                 ELN RED INT PMT,
10-Oct-2024/11-Oct-2024,11-Oct-24,SELL,18,,-2000,5797,C118506,CBL13439,CIBC CDN BNK DIVIDEND LINKED C,100,,100.37,,200000,,,0,,,,0
02-Oct-24,,Reinvested,18,,-1000,,B074076,,1000THS BMO CAD HISA SR F(102),,,,,0,,EXH AB,,,,FULL SHARES FOR FRACTIONS,
02-Oct-24,,Reinvested,18,,1,,B074135,BMT102,BMO CAD HISA CL F (102),,,,,0,,EXH AB,,,,FULL SHARES FOR FRACTIONS,
30-Sep-24,01-Oct-24,Interest,18,,340,,B074076,,1000THS BMO CAD HISA SR F(102),,,,,0,,INT C5,,,,AS OF 09/30/24                 REINVESTED @ $1.00,
30-Sep-24,01-Oct-24,Interest,18,,156,,B074135,BMT102,BMO CAD HISA CL F (102),,,,,0,,INT C5,,,,AS OF 09/30/24                 REINVESTED @ $1.00,
