Account,Sample- Joint,,,,,,,,,,,,,,,,,,,,,
SELECTION CRITERIA: All transaction types,,,,,,,,,,,,,,,,,,,,,,
SECURITY: All securities,,,,,,,,,,,,,,,,,,,,,,
DATES: 01-JAN-2024 TO 01-JAN-2025,,,,,,,,,,,,,,,,,,,,,,
                      ,,,,,,,,,,,,,,,,,,,,,,
TRANS/VALUE DATE,ENTRY DATE,TRANS TYPE,A/C,ST,QUANTITY,TRADE NO,CUSIP,SYMBOL,SECURITY DESCRIPTION,AVG COST,,UNIT PRICE,,TOTAL AMOUNT,,REMARK,GAIN/LOSS,,CXLD,LONG REMARK,COMMISSION,
26-Nov-2024/27-Nov-2024,27-Nov-24,SELL,22,,-13500,4928,B074135,BMT102,BMO CAD HISA CL F (102),1,,1,,13500,,,0,,,,0,
26-Nov-24,,Misc cash,22U,,,,,,BUY USD @ 1.4219,,,,,550,U,FXC H4,,,,BUY USD @      1.4219,,
26-Nov-24,,Misc cash,22,,,,,,BUY USD @ 1.4219,,,,,-782.04,,FXC H4,,,,BUY USD @      1.4219,,
25-Nov-24,,Withdrawal,22,,,,,,RECURRING EFT,,,,,-12000,,AFT T9,,,,RECURRING EFT,,
21-Nov-24,22-Nov-24,Interest,22,,,,,,INT FR 10/22 THRU10/23@ 6.450%,,,,,-1.94,,INT,,,,INT FR 10/22 THRU10/23@ 6.450% BAL    5 514   AVBAL    5 514,,
21-Nov-24,22-Nov-24,Interest,22,,,,,,INT FR 10/24 THRU11/21@ 5.950%,,,,,-12.79,,INT,,,,INT FR 10/24 THRU11/21@ 5.950% BAL      345   AVBAL    2 713,,
15-Nov-2024/15-Nov-2024,15-Nov-24,BUY,22U,,0,7944,9334862,,ARCHITECT FEE(HST INCL REG,,,0,U,-508.44,U,,,,,,0,U
15-Nov-2024/15-Nov-2024,15-Nov-24,BUY,22,,0,7943,9334862,,ARCHITECT FEE(HST INCL REG,,,0,,-833.42,,,,,,,0,
15-Nov-2024/15-Nov-2024,15-Nov-24,BUY,22,,0,8889,9334944,,MERIDIAN PROGRAM(HST INCL REG,,,0,,-1296.35,,,,,,,0,
08-Nov-2024/12-Nov-2024,12-Nov-24,BUY,22,,1700,6199,B124990,JHN18765,BMO ACALL SOLBEW27 S329 PAR DS,,,100,,-170000,,,,,,,-4250,
06-Nov-24,,Reinvested,22,,-1,,F018526,FOR210,FORGE FIRST CONS ALT NL F,,,,,0,,EXH AB,,,,FULL SHARES FOR FRACTIONS,,
06-Nov-24,,Reinvested,22,,1000,,F018563,,1000THS FORGE FIRST CONSERVIVE,,,,,0,,EXH AB,,,,FULL SHARES FOR FRACTIONS,,
05-Nov-24,,Journal Sale,22,,-98,,F018563,,1000THS FORGE FIRST CONSERVIVE,,,,,0,,SEL KP,,,,AS OF 11/05/24                 DEL FRACTIONAL SHARES OUT RE   SALE OF 9210.098 SHARES,,
04-Nov-2024/05-Nov-2024,05-Nov-24,SELL,22,,-9210,2493,F018526,FOR210,FORGE FIRST CONS ALT NL F,16.113,,18.458,,170000,,,21599.45,,,,0,
04-Nov-24,,Reinvested,22,,-1000,,B074076,,1000THS BMO CAD HISA SR F(102),,,,,0,,EXH AB,,,,FULL SHARES FOR FRACTIONS,,
04-Nov-24,,Reinvested,22,,1,,B074135,BMT102,BMO CAD HISA CL F (102),,,,,0,,EXH AB,,,,FULL SHARES FOR FRACTIONS,,
31-Oct-24,01-Nov-24,Interest,22,,260,,B074076,,1000THS BMO CAD HISA SR F(102),,,,,0,,INT C5,,,,AS OF 10/31/24                 REINVESTED @ $1.00,,
31-Oct-24,01-Nov-24,Interest,22,,559,,B074135,BMT102,BMO CAD HISA CL F (102),,,,,0,,INT C5,,,,AS OF 10/31/24                 REINVESTED @ $1.00,,
29-Oct-24,,Reinvested,22,,1,,D002576,DYN2853,DYNAMIC PREMIUM YIELD FD SR F(,,,,,0,,EXH AB,,,,FULL SHARES FOR FRACTIONS,,
29-Oct-24,,Reinvested,22,,-1000,,D002577,,1000THS DYNAMIC PREMIUM YIELD,,,,,0,,EXH AB,,,,FULL SHARES FOR FRACTIONS,,
28-Oct-2024/29-Oct-2024,29-Oct-24,SELL,22,,-20000,9482,B074135,BMT102,BMO CAD HISA CL F (102),1,,1,,20000,,,0,,,,0,
28-Oct-24,,Misc cash,22U,,,,,,BUY USD @ 1.4021,,,,,500,U,FXC H4,,,,BUY USD @      1.4021,,
28-Oct-24,,Misc cash,22,,,,,,BUY USD @ 1.4021,,,,,-701.05,,FXC H4,,,,BUY USD @      1.4021,,
25-Oct-24,28-Oct-24,Stock Div,22,,12,,D002576,DYN2853,DYNAMIC PREMIUM YIELD FD SR F(,,,,,0,,DIV C5,,,,AS OF 10/25/24                 REINVESTED DIVIDENDS @$11.5449,,
25-Oct-24,28-Oct-24,Stock Div,22,,975,,D002577,,1000THS DYNAMIC PREMIUM YIELD,,,,,0,,DIV C5,,,,AS OF 10/25/24                 REINVESTED DIVIDENDS @$11.5449,,
25-Oct-24,28-Oct-24,Stock Div,22,,285,,D054213,,1000THS DYNAMIC CR  ABSOLUTE R,,,,,0,,DIV C5,,,,AS OF 10/25/24                 REINVESTED DIVIDENDS @$8.8817,,
25-Oct-24,28-Oct-24,Stock Div,22,,25,,D054214,DYN27550,DYNAMIC CR  ABSOLUTE RETURN FD,,,,,0,,DIV C5,,,,AS OF 10/25/24                 REINVESTED DIVIDENDS @$8.8817,,
25-Oct-24,,Withdrawal,22,,,,,,RECURRING EFT,,,,,-12000,,AFT T9,,,,RECURRING EFT,,
21-Oct-24,22-Oct-24,Interest,22,,,,,,INT FR 09/22 THRU10/21@ 6.450%,,,,,-10.06,,INT,,,,INT FR 09/22 THRU10/21@ 6.450% BAL    5 504   AVBAL    1 902,,
18-Oct-2024/18-Oct-2024,18-Oct-24,BUY,22U,,0,3822,9334862,,ARCHITECT FEE(HST INCL REG,,,0,U,-495.37,U,,,,,,0,U
18-Oct-2024/18-Oct-2024,18-Oct-24,BUY,22,,0,3820,9334862,,ARCHITECT FEE(HST INCL REG,,,0,,-775.7,,,,,,,0,
18-Oct-2024/18-Oct-2024,18-Oct-24,BUY,22,,0,3821,9334862,,ARCHITECT FEE(HST INCL REG,,,0,,-3741.87,,,,,,,0,
18-Oct-2024/18-Oct-2024,18-Oct-24,BUY,22,,0,9024,9334944,,MERIDIAN PROGRAM(HST INCL REG,,,0,,-1215.3,,,,,,,0,
